city,state,city_geoid,LAT,LON,nearest_bg_geoid,walkability_index
Richmond CDP,ME,230239701001,5480781.355430622,-7771165.450938915,230239701001,5.333333333
Rockland city,ME,230139707001,5484633.420280829,-7695566.714948841,230139707001,7.833333333
Rumford CDP,ME,230179656003,5550148.5449700765,-7854724.866354596,230179656003,6.833333333
Sabattus CDP,ME,230010465004,5484049.731072919,-7803916.647005713,230010465004,5.166666667
Saco city,ME,230310052001,5392680.991334376,-7839070.785600775,230310052001,9.0
Sanford city,ME,230310302051,5376755.037666304,-7876728.833502249,,
Searsport CDP,ME,230270420006,5539238.870322432,-7671649.944990886,230270420006,7.833333333
Skowhegan CDP,ME,230259666022,5586662.942907741,-7760326.160800884,,
South Berwick CDP,ME,230310350022,5347053.15579647,-7881213.227869365,,
South Eliot CDP,ME,230310370003,5332554.901126094,-7880658.077568779,230310370003,7.166666667
South Paris CDP,ME,230179662003,5499212.128039029,-7849473.592015406,230179662003,10.0
South Portland city,ME,230050031004,5408576.858318864,-7824200.505381627,230050031004,16.33333333
Southwest Harbor CDP,ME,230099661001,5508625.236316514,-7606302.732227458,230099661001,8.666666667
South Windham CDP,ME,230050048034,5425108.378716567,-7839330.160014324,,
Standish CDP,ME,230050170031,5424576.679181839,-7853868.262872943,,
Steep Falls CDP,ME,230050170042,5433189.485026254,-7860699.272105981,,
Thomaston CDP,ME,230139704023,5478120.0430486705,-7701021.36999771,,
Topsham CDP,ME,230239703013,5457304.734822206,-7784756.002291902,,
Turner CDP,ME,230010420004,5505426.097748773,-7821069.756022558,230010420004,6.166666667
Unity CDP,ME,230270460024,5561689.366125132,-7719403.8914708765,230270460024,6.166666667
Van Buren CDP,ME,230039502002,5969383.14664458,-7564034.832892741,230039502002,7.666666667
Vanceboro CDP,ME,230299551001,5711268.754168082,-7506186.1010291455,230299551001,3.333333333
Veazie CDP,ME,230190050002,5597536.240954971,-7649228.52975276,230190050002,4.5
Waldoboro CDP,ME,230159752003,5479894.733769724,-7723172.0562342275,230159752003,7.333333333
Washburn CDP,ME,230039510004,5907603.538826579,-7585266.020135308,230039510004,5.0
Waterville city,ME,230110242011,5550217.739029927,-7754671.130668584,,
Westbrook city,ME,230050027003,5420352.82875909,-7831615.83062184,230050027003,5.833333333
West Kennebunk CDP,ME,230310280011,5375229.335935879,-7857040.200443607,230310280011,7.166666667
Wilton CDP,ME,230079713001,5557884.672320689,-7818805.183621351,230079713001,6.666666667
Winslow CDP,ME,230110230012,5551489.87896595,-7748777.208909045,230110230012,8.0
Winter Harbor CDP,ME,230099658002,5526431.1660442,-7579928.584510242,230099658002,7.166666667
Winterport CDP,ME,230270410002,5566295.189082156,-7665599.619346783,230270410002,6.0
Winthrop CDP,ME,230110140013,5515623.594149292,-7786886.879984667,,
Wiscasset CDP,ME,230159755002,5467106.540438956,-7756522.5964394575,230159755002,6.666666667
Woodland CDP,ME,230299554001,5646462.579737892,-7504017.486029001,230299554001,5.666666667
Yarmouth CDP,ME,230050044023,5435132.127459385,-7813356.985102946,230050044023,4.333333333
York Harbor CDP,ME,230310360032,5333766.652614779,-7864442.501303394,,
Aberdeen city,MD,240253028021,4795914.1399585875,-8479708.555183053,240253028021,15.66666667
Aberdeen Proving Ground CDP,MD,240253065002,4786946.847354028,-8475147.127728308,240253065002,4.5
Abingdon CDP,MD,240253017032,4788279.080419201,-8490687.106004067,240253017032,11.0
Accident town,MD,240230001002,4811696.441869449,-8829857.334303847,240230001002,7.166666667
Accokeek CDP,MD,240338013103,4675443.0458621085,-8571658.454578297,,
Adamstown CDP,MD,240217523022,4765742.7236974565,-8623842.582833385,240217523022,6.333333333
Adelphi CDP,MD,240338059042,4721251.454203673,-8567903.091556385,240338059042,12.16666667
Algonquin CDP,MD,240199707024,4663090.660933826,-8470473.490226842,240199707024,6.0
Allen CDP,MD,240450108002,4620245.710181319,-8426111.893909287,240450108002,3.833333333
Andrews AFB CDP,MD,240338011061,4694463.98675149,-8557035.526267692,,
Annapolis city,MD,240037065003,4717683.370169276,-8516534.601210337,240037065003,13.33333333
Annapolis Neck CDP,MD,240037026011,4712588.692766827,-8515727.757541068,240037026011,5.666666667
Antietam CDP,MD,240430116002,4781304.119184852,-8653585.814939458,240430116002,3.166666667
Aquasco CDP,MD,240338009002,4663330.07092015,-8537884.900308052,240338009002,4.166666667
Arbutus CDP,MD,240054307001,4756492.249876133,-8537329.193410013,240054307001,13.0
Arden on the Severn CDP,MD,240037021001,4731375.095105931,-8526682.040713089,240037021001,7.5
Arnold CDP,MD,240037311033,4727865.362238132,-8516495.973347032,240037311033,7.666666667
Ashton-Sandy Spring CDP,MD,240317013162,4742991.856336974,-8571498.933747988,240317013162,11.66666667
Aspen Hill CDP,MD,240317032021,4735092.871589017,-8580727.31953475,240317032021,12.33333333
Baden CDP,MD,240338008002,4674438.108257003,-8543127.60304645,240338008002,2.5
Bagtown CDP,MD,240430113021,4805526.128676798,-8639938.156687694,240430113021,3.166666667
Bakersville CDP,MD,240430109021,4795687.0136277,-8655874.988948131,,
Ballenger Creek CDP,MD,240217510031,4776413.293030382,-8618374.903404092,240217510031,14.83333333
Baltimore city,MD,245101003001,4764740.159476467,-8528239.177750306,245101003001,15.16666667
